src_ip,dst_ip,server_port,prot,p_count,b_count,max_size,min_size,abyte_count,sbyte_count,Unnamed: 10
192.168.127.11,17.248.184.81,443,6,9.35386386530436e-05,6.72179599450345e-06,0.0,0.041324200913242,0.0186183911235616,0.0343783292773534,AppleiCloud
17.248.184.81,192.168.127.11,443,6,7.914807886026766e-05,3.2851233285658557e-06,0.0082191780821917,0.0225266362252663,0.0089073597813816,0.0181654606607508,AppleiCloud
192.168.122.94,17.248.137.115,443,6,0.0001798819974096,9.568592008824892e-06,0.0,0.0404490106544901,0.0131690615694078,0.0270230806679632,AppleiCloud
17.248.137.115,192.168.122.94,443,6,0.0001654914376169,2.3133423467729185e-05,0.0082191780821917,0.0610730593607306,0.0413746402192322,0.0673014280224947,AppleiCloud
192.168.128.3,17.248.137.84,443,6,0.0001151244783422,7.262710552507197e-06,0.0082191780821917,0.0429604261796042,0.0160595268328613,0.0336317711400808,AppleiCloud
17.248.137.84,192.168.128.3,443,6,9.35386386530436e-05,2.636958470268263e-05,0.0082191780821917,0.1097412480974125,0.0850158443514613,0.0980559982478565,AppleiCloud
192.168.125.40,17.248.184.107,443,6,9.35386386530436e-05,6.593561939804287e-06,0.0082191780821917,0.0475266362252663,0.0181850388153678,0.0363274135008493,AppleiCloud
17.248.184.107,192.168.125.40,443,6,5.756223917110376e-05,1.5833408462945866e-05,0.0082191780821917,0.1013318112633181,0.0793113521091447,0.1018759650756385,AppleiCloud
192.168.122.90,17.248.137.108,443,6,0.0001223197582385,6.663507787822012e-06,0.0082191780821917,0.0366057838660578,0.0133472511894388,0.0287842820237561,AppleiCloud
17.248.137.108,192.168.122.90,443,6,0.0001007339185494,2.6371916230949887e-05,0.0082191780821917,0.1097412480974125,0.0790613209537097,0.1127397767909169,AppleiCloud
192.168.121.97,17.248.137.237,443,6,0.0001295150381349,1.830016536970433e-05,0.0,0.0555555555555555,0.0413886706070053,0.0630370089638119,AppleiCloud
17.248.137.237,192.168.121.97,443,6,0.0001151244783422,6.362740641345791e-06,0.0082191780821917,0.0620243531202435,0.0135548895116162,0.0430817785170753,AppleiCloud
192.168.122.70,17.248.184.20,443,6,0.0001582961577205,7.248721382903652e-06,0.0,0.0383181126331811,0.0106902705382438,0.0246029312270458,AppleiCloud
17.248.184.20,192.168.122.70,443,6,0.0001439055979277,2.1039711083731925e-05,0.0082191780821917,0.1097412480974125,0.0431986594949256,0.086472569239146,AppleiCloud
192.168.121.75,17.248.184.54,443,6,0.0001726867175133,8.468110666679338e-06,0.0,0.0248097412480974,0.011789704191134,0.0216642869642106,AppleiCloud
17.248.184.54,192.168.121.75,443,6,0.0001511008778241,1.724398306463667e-05,0.0082191780821917,0.0550989345509893,0.0328717425987832,0.0609007732063611,AppleiCloud
192.168.127.45,17.248.137.176,443,6,0.0001007339185494,7.488868794431177e-06,0.0,0.0418569254185692,0.0195024298371304,0.0360463108359507,AppleiCloud
17.248.137.176,192.168.127.45,443,6,9.35386386530436e-05,3.43200960940308e-06,0.0082191780821917,0.0209665144596651,0.0075009345527424,0.0158823650490176,AppleiCloud
192.168.121.97,17.248.184.20,443,6,0.0001511008778241,1.0177120886579106e-05,0.0,0.0555555555555555,0.0176743277365753,0.0392763639857379,AppleiCloud
17.248.184.20,192.168.121.97,443,6,0.0001511008778241,2.19466755796951e-05,0.0082191780821917,0.0610730593607306,0.0429849678634102,0.070008083889821,AppleiCloud
