,precision,recall,f1-score,support
AppleiCloud,0.9845360824742269,0.9227053140096618,0.9526184538653366,621.0
AppleiTunes,0.855072463768116,0.42142857142857143,0.5645933014354066,140.0
Dropbox,0.879784102060844,0.9718157181571816,0.9235127478753541,1845.0
FTP_DATA,0.8571428571428571,0.9375,0.8955223880597014,32.0
Facebook,1.0,0.1395,0.24484422992540592,2000.0
GMail,0.9910714285714286,0.0555,0.10511363636363635,2000.0
Github,0.9793510324483776,0.9822485207100592,0.9807976366322009,1352.0
GoogleDrive,1.0,0.0175,0.0343980343980344,2000.0
GoogleHangoutDuo,0.9477756286266924,1.0,0.9731876861966235,1960.0
GoogleServices,0.3545712415448396,0.8432797093928386,0.499231950844854,1927.0
Instagram,0.7303240740740741,0.9465,0.8244773519163763,2000.0
MS_OneDrive,0.9646302250803859,0.972972972972973,0.9687836383207751,925.0
NetFlix,0.9790575916230366,0.6071428571428571,0.749498997995992,308.0
Skype,0.5872354073123798,0.928498985801217,0.7194499017681729,1972.0
Snapchat,1.0,0.175,0.2978723404255319,40.0
SoundCloud,0.8333333333333334,0.1388888888888889,0.2380952380952381,36.0
Spotify,0.9958391123439667,0.9373368146214099,0.9657027572293206,766.0
Steam,1.0,0.7846153846153846,0.8793103448275863,130.0
TeamViewer,0.9201680672268907,0.9820627802690582,0.9501084598698482,223.0
Telegram,1.0,0.7684210526315789,0.869047619047619,285.0
Twitter,0.9394250513347022,0.9336734693877551,0.9365404298874104,1960.0
WhatsApp,0.8623402163225172,0.9241306638566913,0.8921668362156663,1898.0
Wikipedia,1.0,0.6911764705882353,0.817391304347826,272.0
YouTube,0.4996911673872761,0.8400830737279336,0.6266460108443068,1926.0
eBay,0.9333333333333333,0.2692307692307692,0.417910447761194,104.0
accuracy,0.7219519497043635,0.7219519497043635,0.7219519497043635,0.7219519497043635
macro avg,0.8837872966403713,0.6876484806973227,0.6930728697659768,26722.0
weighted avg,0.8346623663100947,0.7219519497043635,0.6697776490741133,26722.0
