src_ip,dst_ip,server_port,prot,p_count,b_count,max_size,min_size,abyte_count,sbyte_count,Unnamed: 10
17.248.137.181,192.168.121.24,443,6,0.0001079291984458,2.665169962302079e-05,0.0082191780821917,0.0550989345509893,0.0746715277028987,0.0767319729258015,AppleiCloud
192.168.128.199,17.248.184.82,443,6,0.0001798819974096,9.857701513964823e-06,0.0,0.041400304414003,0.0136951452179037,0.0283703803109605,AppleiCloud
17.248.184.82,192.168.128.199,443,6,0.0001511008778241,2.146638075664005e-05,0.0082191780821917,0.0614535768645357,0.0419520851602914,0.0691489394054827,AppleiCloud
192.168.121.75,17.248.137.76,443,6,0.0001439055979277,6.346419943474988e-06,0.0,0.0251902587519025,0.0100957956628995,0.0194585786208146,AppleiCloud
17.248.137.76,192.168.121.75,443,6,0.0001223197582385,1.554896201434045e-05,0.0082191780821917,0.0550989345509893,0.0367018766612535,0.0664182126921463,AppleiCloud
192.168.121.97,17.248.184.20,443,6,0.0001439055979277,1.426428993908155e-05,0.0,0.0555555555555555,0.0279341526228877,0.0506546122329601,AppleiCloud
17.248.184.20,192.168.121.97,443,6,0.0001223197582385,6.570246657131711e-06,0.0082191780821917,0.0631278538812785,0.0131021226117351,0.0427064272071616,AppleiCloud
192.168.128.30,17.248.137.39,443,6,0.0001367103180313,1.8400421085196405e-05,0.0,0.0555555555555555,0.0393357832574701,0.0618317453725396,AppleiCloud
17.248.137.39,192.168.128.30,443,6,0.0001223197582385,6.728790579305223e-06,0.0082191780821917,0.0668569254185692,0.0135188412004498,0.0452966246739728,AppleiCloud
192.168.128.71,17.248.137.39,443,6,0.0002806159159591,3.451827599674769e-05,0.0,0.0477929984779299,0.0365256904967184,0.0545311970697896,AppleiCloud
17.248.137.39,192.168.128.71,443,6,0.0002734206360627,4.665388062782312e-05,0.0082191780821917,0.071765601217656,0.0522972397735514,0.074662700142294,AppleiCloud
192.168.127.68,17.248.184.51,443,6,7.914807886026766e-05,9.45667865199653e-06,0.0,0.0555555555555555,0.0332394354653387,0.0611068493554546,AppleiCloud
17.248.184.51,192.168.127.68,443,6,7.914807886026766e-05,6.157566153827129e-06,0.0082191780821917,0.0358066971080669,0.0202323001882188,0.0388768693520173,AppleiCloud
192.168.128.46,17.248.184.8,443,6,0.0001439055979277,7.95750597614994e-06,0.0,0.0386986301369863,0.0137254495670977,0.0300179679742345,AppleiCloud
